source_id,kaynak_adi,arsiv_icerik_tarihi,bizim_cekme_tarihimiz,yas_gun,arsiv_indeksi,tazelik_uyarisi,guncel_veri_mi
source-0174,Indiegogo,2025-02-06,2026-09-03,596,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-06 tarihli, 596 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0362,Bureau of Labor Statistics,2025-02-06,2026-09-03,596,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-06 tarihli, 596 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0397,Regulations.gov,2025-02-06,2026-09-03,596,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-06 tarihli, 596 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0400,U.S. Securities and Exchange Commission,2025-02-06,2026-09-03,596,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-06 tarihli, 596 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0001,Brave Search,2025-02-07,2026-09-03,595,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-07 tarihli, 595 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0036,CodeProject,2025-02-07,2026-09-03,595,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-07 tarihli, 595 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0281,Monster,2025-02-07,2026-09-03,595,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-07 tarihli, 595 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0338,ResearchGate,2025-02-07,2026-09-03,595,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-07 tarihli, 595 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0010,SearXNG,2025-02-08,2026-09-03,594,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-08 tarihli, 594 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0138,TrustRadius,2025-02-08,2026-09-03,594,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-08 tarihli, 594 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0145,SaaSworthy,2025-02-08,2026-09-03,594,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-08 tarihli, 594 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0177,Creative Market,2025-02-08,2026-09-03,594,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-08 tarihli, 594 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
