hata_sinifi,document_id,ilgili_kayit,kaynak,bulgu,karar,gerekce,duzeltme
dedup-yanlis-birlesme,doc-39af50a4d9a2,doc-e9f87e3f9a0d,Bing News <-> Bing,bing.com / bing.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-f7dafa7ca7f1,doc-9291066bee9f,Competition and Markets Authority <-> Companies House,gov.uk / gov.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-bd9a6e09bb4e,doc-acd7c02cefaf,Etsy Reviews <-> Etsy,etsy.com / etsy.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-f4f82efbd239,doc-a664732ec757,Facebook Marketplace <-> Facebook,facebook.com / facebook.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-7e40151264e4,doc-a664732ec757,Facebook Pages <-> Facebook,facebook.com / facebook.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-1400d65aa7cb,doc-a03395244a9d,G2 Education Software <-> G2,g2.com / g2.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-e06a47dee657,doc-a03395244a9d,G2 Track <-> G2,g2.com / g2.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-1af2d9ed044a,doc-7e3df8af4b3c,LinkedIn Jobs <-> LinkedIn Ad Library,linkedin.com / linkedin.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-a5b070a37335,doc-4d51f4a2992b,OECD Health Statistics <-> OECD Education,data-explorer.oecd.org / data-explorer.oecd.org,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-dc7fb5fc93d4,doc-d435f4218281,T.C. Sağlık Bakanlığı <-> Sağlık Bakanlığı,saglik.gov.tr / saglik.gov.tr,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-30ccef1dd4e2,doc-589b9da42cc5,UK Financial Conduct Authority <-> Financial Conduct Authority,fca.org.uk / fca.org.uk,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
dedup-yanlis-birlesme,doc-78c4b499f76f,doc-ae16a060ace2,UsabilityHub <-> Lyssna,lyssna.com / lyssna.com,"doğru — aynı alan adı, farklı katalog kaydı",iki katalog kaydı tek dosyayı paylaşıyor; birleşme doğru,—
