kategori,bulgu_turu,document_id,source_id,source_adi,url_yolu,mevcut_etiket,kanit,onerilen_duzeltme,gerekce
b2b-web-yazilimi,eksik-provenance,doc-0024e3147add,source-0298,Eleman.net,/,ana-sayfa,dosya yok: results/raw/579c368ec4a92d63ffc57f2b88fed7631c62588040122f3f23a5406ee822067a.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-1431510152cd,source-0065,AppSumo,/sitemap.xml,sitemap,dosya yok: results/raw/790816328fa1e9d55b505b40ff41d4f6f80b29df84688ab90427e243b5bfb9ec.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-212afa6ee991,source-0617,Google Cloud Pricing Calculator,/sitemap.xml,sitemap,dosya yok: results/raw/c7f67bcd948e7ed913b9afbd77abc6dde4bf569bbc0cc26e94c9b6854068e298.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-34aae470587f,source-0147,Tekpon,/categories/,liste-sayfasi,dosya yok: results/raw/bff3ff02fa7e9f0087500c529bafe5009c37fdd5d08feb12df3bec72a5813ef2.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-6daa37b0992f,source-0051,Product Hunt,/feed/,besleme,dosya yok: results/raw/b4dd36bfd7d3230c2b74ad7573c9cbad7d49ce7fb8d8044f1b0b6d161c891e18.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-8990b48bd701,source-0141,SourceForge Reviews,/reviews,inceleme-sayfasi,dosya yok: results/raw/d0fa45af5b87da0fd3d7b20eccb372d9ced51e2a21986e7d219c062c02c69435.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-991e326786ba,source-0143,Serchen,/sitemap/companies-a.xml,sitemap,dosya yok: results/raw/de1ce205e2ec61e9e99ea1015ed4604a0e7e1c413d5b63b930142704ec2d4c92.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-b13b36930fdf,source-0296,Yenibiris,/ilceler.xml,sitemap,dosya yok: results/raw/9c18d9e1da2a96a0638655674c87a6c43622f6f09ed46b66f99b047eadf7d110.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
b2b-web-yazilimi,eksik-provenance,doc-bf4ca5a094ed,source-0147,Tekpon,/page-sitemap.xml,sitemap,dosya yok: results/raw/68f1a45f18ed2bd60e1e874bd69e295c7cb0f9ad320f8c05097a8403fdd5dea6.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-0db0f9c96d1d,source-0459,edX,/sitemap.xml,sitemap,dosya yok: results/raw/5840e3290a694f588c3eb413aa706471dadf1664686ec0f16d9d41d89c949cd2.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-18c7e20d0bc3,source-0455,YÖK Atlas,/,ana-sayfa,dosya yok: results/raw/a827a70973569daddd0fb901908b958b3f1e40e9fb3eee9960cd0f294a37b8b4.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-2c109f612eba,source-0459,edX,/products/map-data,belirsiz,dosya yok: results/raw/a31fb19313e8bc0688a687a6c79cc75689e4fcebe1e87af830020bc3de01ddb9.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-4d51f4a2992b,source-0453,OECD Education,/assets/oecd/data-explorer/sitemap.xml,sitemap,dosya yok: results/raw/06d9cff42c28627b5ba534e4a7197866d996fe518af13dd91d4e8b87aeabc009.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-5efd318e3350,source-0466,Capterra Education Software,/sitemaps/shortlist/sitemap.xml,sitemap,dosya yok: results/raw/d941bcfeb57ac083addc2ece51dca0d3808fe95a67ab462c8e806e98a2066075.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-6ea9fcfe7e02,source-0455,YÖK Atlas,/reviews,belirsiz,dosya yok: results/raw/37cdaa9e815d44cd75b9ec794197a9d7f88d02033d62c991bf78b7fb484a00c5.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-78c2d22d3d53,source-0451,National Center for Education Statistics,/national-center-education-statistics-nces/products,belirsiz,dosya yok: results/raw/66a6f00764305ea1d53591d1ad0bf5f102fd4a83bb2cde59790cf317db5ab792.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-9376cfd642c5,source-0450,U.S. Department of Education,/sitemap.xml,sitemap,dosya yok: results/raw/13ead21fcbfe348cb80f335d3283269f6e87d7824fe3491e8acbacc4a23adc1a.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-acacf02f3225,source-0461,Skillshare,/hc/de/categories/200230948-Skillshare-f%C3%BCr-Teams,belirsiz,dosya yok: results/raw/9546bd35ceb503041ca06bb7d018a012e1ae92eb72c4b7e7086fcde1adce87f3.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,eksik-provenance,doc-bc048ab17757,source-0461,Skillshare,/hc/en-us,ana-sayfa,dosya yok: results/raw/20fe2d39a604336689767693c3977e10c8b4446601244362933d1d20ef74fc36.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
egitim,yanlis-etiket,doc-bc048ab17757,source-0461,Skillshare,/hc/en-us,ana-sayfa,yol kök değil: /hc/en-us,belge_turu yeniden değerlendirilmeli,Ana sayfa etiketi kök yol içindir; iki seviye derindeki sayfa ana sayfa olamaz.
egitim,eksik-provenance,doc-c8f96ed88147,source-0454,YÖK,/sitemap.xml,sitemap,dosya yok: results/raw/47a9679c61d138f95b9d29449384e4e24b27ea68335bb1a1fed1efd8c99c923f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-014858730b5c,source-0132,Airtable Marketplace,/sitemap.xml,sitemap,dosya yok: results/raw/56c7e78b2be3f5ce89e0849572aa43be6976a2c0fea30ebd778d6db2505eb845.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-20210566918c,source-0119,BigCommerce App Marketplace,/apps/,belirsiz,dosya yok: results/raw/0e9da1905a4aeabc074687287f0dc5cf05f92800e2890aaaedd81d32b501391f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-55e743ba6f5f,source-0122,Salesforce AppExchange,/,ana-sayfa,dosya yok: results/raw/4f8bd9dab1e19e25cefece69c4c12b6e6c12c5a58ff7685993cf223bb02c0615.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-69c0d9161a8b,source-0117,Wix App Market,/app-market,belirsiz,dosya yok: results/raw/f9d8a35984faad4cb4af0387a6c575d152bbacea72d6a13a14bda7c614bcda2d.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-84a096edc2ef,source-0115,WooCommerce Marketplace,/community/,forum-sayfasi,dosya yok: results/raw/4abd5ab94d906d4bd56aa7904c8cedeecb6c823a6f2e4419ab190bf187c30dbc.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-a9383cee1b29,source-0129,Notion Integrations,/ar/md/sitemap.xml,sitemap,dosya yok: results/raw/7fdc453ab92dac0ef279568e9ece7a8854bcd17a6b8c53967593adecff9bb52b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-bc1a6fb8988c,source-0132,Airtable Marketplace,/marketplace,belirsiz,dosya yok: results/raw/e46ca5d0b163b904672ab0e17a2bde178f23080a76dead095219f2c4d293c7af.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
eklenti-entegrasyon,eksik-provenance,doc-c4681e3945d7,source-0122,Salesforce AppExchange,/,ana-sayfa,dosya yok: results/raw/03ca822ee9888cbae69d1fac802459e1ccb377d8d78b0e6071f9d229e166aaba.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
fintech,eksik-provenance,doc-0a5c214ab0ea,source-0439,Open Banking UK,/sitemap_index.xml,sitemap,dosya yok: results/raw/33d1fb97e0cb4b5ed71529827988a221264d065fe53d4db0b22643f5f71ee0cd.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
fintech,eksik-provenance,doc-16d4dfad8790,source-0384,SPK,/Urunler,belirsiz,dosya yok: results/raw/11a3c874c5a84c2fb3ea262d7f04fc22776d97101eae58e1f58cce4337d6ff49.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
fintech,eksik-provenance,doc-50007bd794de,source-0443,Yahoo Finance,/,ana-sayfa,dosya yok: results/raw/e1bba7a87f0514a4cde6cb915eec6a0a5983f35e4131ce517f7c09910590d30c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
fintech,eksik-provenance,doc-5a5a9f6b0c3c,source-0266,Companies House,/sitemaps/sitemap_2.xml,sitemap,dosya yok: results/raw/f4774468feab361d106f91da89dfb2a850f475efb7e8a7c1a9affacfacc14fec.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
fintech,eksik-provenance,doc-8a55c1fd9618,source-0384,SPK,/pricing,fiyatlandirma-sayfasi,dosya yok: results/raw/1a622acf345bde6208bd6d037cf336bcaaadbf92ef393862a8530e5475a8660b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
fintech,eksik-provenance,doc-a348927ec1a5,source-0449,DefiLlama,/sitemap.xml,sitemap,dosya yok: results/raw/5d26479e9150ce8de49a82315e4df49e462131a65d3d83af9dc160e9cb6fac5b.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
fintech,eksik-provenance,doc-ee403382ae98,source-0437,Bank for International Settlements,/acout/banking/customers,kullanim-senaryosu,dosya yok: results/raw/3c69ee13d4dcf1d13bf6a9d620f7db772510cae77e95c598c554b92b2c19b47f.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-09093ae72eda,source-0469,Realtor.com,/robots.txt,politika-dosyasi,dosya yok: results/raw/c2f32915c3f473818ba0b3387f7ebf3b1fdc1d90fe557ce8cb592d3f753c0027.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-0f682f034b2f,source-0476,ImmobilienScout24,/wissen/vermieten/vermieterpfandrecht.html,yazi,dosya yok: results/raw/54d9aa911b16cb3f1382d7215634a532a1fbd330ea6b9887de8ba2786707d897.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-15c35e370b75,source-0483,RICS,/,ana-sayfa,dosya yok: results/raw/c15a3a9c9e4f30cb8052756029fcf20eb2b8458b80eada8e474547112b43f65c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-1b188e4eba0f,source-0470,Trulia,/sitemaps/xml/recent_updates/index.xml,sitemap,dosya yok: results/raw/44b736e4c1533198a73118b64b1aa04cb406c52f67f7321a3cffe86e05f4685e.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-2b5850388e35,source-0484,U.S. Census Building Permits,/sitemapindex/census.xml,sitemap,dosya yok: results/raw/b715585f67a6e6216a40b306e7cf380369cd54948bc3b45de311a1730cea2d69.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-39c7680afecf,source-0468,Redfin,/,ana-sayfa,dosya yok: results/raw/88f1cc2270cff07f78a15cbe4d672990493d99c9edc1f8e3510e870e2c0471c2.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-6508a63563a2,source-0471,Rightmove,/sitemap.xml,sitemap,dosya yok: results/raw/295e0b23a0903ae101f1216edf2ee318e09b8e65c7a1a3e0de9cd961b3ff0d05.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-6ee72419332a,source-0479,Emlakjet,/danismanlar,belirsiz,dosya yok: results/raw/5adaf986fd7a1caab43f6d6f8aeaea49e8c34a4dfc469925d23bf7788cb688ea.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-8427299251d7,source-0484,U.S. Census Building Permits,/sitemapindex/video.xml,sitemap,dosya yok: results/raw/c8d80dca86eea6588015557d1008523841f6d0ab6d09d0f98773aa17a807a6cd.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-8a2c1ce90577,source-0470,Trulia,"/for_rent/Atlanta,GA/",belirsiz,dosya yok: results/raw/9fa9f32c71b67fb5c458348f505745ae62bbc82c3696fc7ef9ffa253ff63a0c3.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-a2835e58f417,source-0472,Zoopla,/,ana-sayfa,dosya yok: results/raw/0c2a0bf7caa6f8af99e66cd3c286c1efa83fa3b56bec911abb405b0f361ad56c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gayrimenkul,eksik-provenance,doc-aa414cf42a76,source-0484,U.S. Census Building Permits,/sitemapindex/sitemap.xml,sitemap,dosya yok: results/raw/17867a22ed9dfd94054791b06dd96b6b673b194d0575b6f3dae2978090ae67eb.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gelistirici-araci,eksik-provenance,doc-2a84db52aee6,source-0030,Hashnode,/alternatives,fiyatlandirma-sayfasi,dosya yok: results/raw/2a56a6508594f9e2cc7f9ef822d46990779fc45904496b7eac5db23b7d1098d0.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
