kategori,document_id,source_id,source_adi,belge_turu,icerik_durumu,url_yolu
b2b-web-yazilimi,doc-0024e3147add,source-0298,Eleman.net,ana-sayfa,gercek-icerik,/
b2b-web-yazilimi,doc-1431510152cd,source-0065,AppSumo,sitemap,aday-kesif,/sitemap.xml
b2b-web-yazilimi,doc-212afa6ee991,source-0617,Google Cloud Pricing Calculator,sitemap,aday-kesif,/sitemap.xml
b2b-web-yazilimi,doc-34aae470587f,source-0147,Tekpon,liste-sayfasi,gercek-icerik,/categories/
b2b-web-yazilimi,doc-4dc9009304b6,source-0146,SoftwareSuggest,ana-sayfa,gercek-icerik,/
b2b-web-yazilimi,doc-6daa37b0992f,source-0051,Product Hunt,besleme,besleme,/feed/
b2b-web-yazilimi,doc-8990b48bd701,source-0141,SourceForge Reviews,inceleme-sayfasi,gercek-icerik,/reviews
b2b-web-yazilimi,doc-991e326786ba,source-0143,Serchen,sitemap,aday-kesif,/sitemap/companies-a.xml
b2b-web-yazilimi,doc-b13b36930fdf,source-0296,Yenibiris,sitemap,aday-kesif,/ilceler.xml
b2b-web-yazilimi,doc-bf4ca5a094ed,source-0147,Tekpon,sitemap,aday-kesif,/page-sitemap.xml
b2b-web-yazilimi,doc-d1ed39bc00b3,source-0065,AppSumo,ana-sayfa,gercek-icerik,/
b2b-web-yazilimi,doc-dab87113fd9d,source-0201,BuiltWith,fiyatlandirma-sayfasi,gercek-icerik,/plans
egitim,doc-0db0f9c96d1d,source-0459,edX,sitemap,aday-kesif,/sitemap.xml
egitim,doc-18c7e20d0bc3,source-0455,YÖK Atlas,ana-sayfa,arsiv,/
egitim,doc-2c109f612eba,source-0459,edX,belirsiz,gercek-icerik,/products/map-data
egitim,doc-4d51f4a2992b,source-0453,OECD Education,sitemap,aday-kesif,/assets/oecd/data-explorer/sitemap.xml
egitim,doc-5efd318e3350,source-0466,Capterra Education Software,sitemap,aday-kesif,/sitemaps/shortlist/sitemap.xml
egitim,doc-6ea9fcfe7e02,source-0455,YÖK Atlas,belirsiz,gercek-icerik,/reviews
egitim,doc-78c2d22d3d53,source-0451,National Center for Education Statistics,belirsiz,gercek-icerik,/national-center-education-statistics-nces/products
egitim,doc-9376cfd642c5,source-0450,U.S. Department of Education,sitemap,aday-kesif,/sitemap.xml
egitim,doc-9fe44b0bf7a0,source-0462,Class Central,ana-sayfa,gercek-icerik,/
egitim,doc-acacf02f3225,source-0461,Skillshare,belirsiz,gercek-icerik,/hc/de/categories/200230948-Skillshare-f%C3%BCr-Teams
egitim,doc-bc048ab17757,source-0461,Skillshare,ana-sayfa,gercek-icerik,/hc/en-us
egitim,doc-c8f96ed88147,source-0454,YÖK,sitemap,aday-kesif,/sitemap.xml
eklenti-entegrasyon,doc-014858730b5c,source-0132,Airtable Marketplace,sitemap,aday-kesif,/sitemap.xml
eklenti-entegrasyon,doc-20210566918c,source-0119,BigCommerce App Marketplace,belirsiz,js-kabugu,/apps/
eklenti-entegrasyon,doc-43c45e205db6,source-0133,Canva Apps Marketplace,kullanim-senaryosu,gercek-icerik,/case-studies/
eklenti-entegrasyon,doc-55e743ba6f5f,source-0122,Salesforce AppExchange,ana-sayfa,js-kabugu,/
eklenti-entegrasyon,doc-69c0d9161a8b,source-0117,Wix App Market,belirsiz,gercek-icerik,/app-market
eklenti-entegrasyon,doc-7810ae1f522d,source-0122,Salesforce AppExchange,liste-sayfasi,gercek-icerik,/categories/data-management
eklenti-entegrasyon,doc-84a096edc2ef,source-0115,WooCommerce Marketplace,forum-sayfasi,gercek-icerik,/community/
eklenti-entegrasyon,doc-98395aef3c45,source-0130,Zapier App Directory,inceleme-sayfasi,gercek-icerik,/apps/categories/reviews
eklenti-entegrasyon,doc-a9383cee1b29,source-0129,Notion Integrations,sitemap,aday-kesif,/ar/md/sitemap.xml
eklenti-entegrasyon,doc-bc1a6fb8988c,source-0132,Airtable Marketplace,belirsiz,js-kabugu,/marketplace
eklenti-entegrasyon,doc-c4681e3945d7,source-0122,Salesforce AppExchange,ana-sayfa,js-kabugu,/
eklenti-entegrasyon,doc-dc1d4e5011bd,source-0130,Zapier App Directory,fiyatlandirma-sayfasi,gercek-icerik,/pricing
fintech,doc-0a5c214ab0ea,source-0439,Open Banking UK,sitemap,aday-kesif,/sitemap_index.xml
fintech,doc-16d4dfad8790,source-0384,SPK,belirsiz,gercek-icerik,/Urunler
fintech,doc-3cef2cb31eff,source-0437,Bank for International Settlements,ana-sayfa,gercek-icerik,/
fintech,doc-50007bd794de,source-0443,Yahoo Finance,ana-sayfa,gercek-icerik,/
fintech,doc-5a5a9f6b0c3c,source-0266,Companies House,sitemap,aday-kesif,/sitemaps/sitemap_2.xml
fintech,doc-74e670d1bf2f,source-0266,Companies House,yazi,gercek-icerik,/government/case-studies/20-million-investment-for-sports-and-leisure-
fintech,doc-8a55c1fd9618,source-0384,SPK,fiyatlandirma-sayfasi,gercek-icerik,/pricing
fintech,doc-94624c6b44a2,source-0433,FRED,liste-sayfasi,gercek-icerik,/categories
fintech,doc-a348927ec1a5,source-0449,DefiLlama,sitemap,aday-kesif,/sitemap.xml
fintech,doc-c4a0e64218a6,source-0441,NYSE,ana-sayfa,gercek-icerik,/index
fintech,doc-d399df9a7b5c,source-0432,Federal Reserve,ana-sayfa,gercek-icerik,/
fintech,doc-ee403382ae98,source-0437,Bank for International Settlements,kullanim-senaryosu,gercek-icerik,/acout/banking/customers
gayrimenkul,doc-09093ae72eda,source-0469,Realtor.com,politika-dosyasi,politika,/robots.txt
gayrimenkul,doc-0f682f034b2f,source-0476,ImmobilienScout24,yazi,gercek-icerik,/wissen/vermieten/vermieterpfandrecht.html
gayrimenkul,doc-15c35e370b75,source-0483,RICS,ana-sayfa,gercek-icerik,/
gayrimenkul,doc-1b188e4eba0f,source-0470,Trulia,sitemap,aday-kesif,/sitemaps/xml/recent_updates/index.xml
gayrimenkul,doc-2b5850388e35,source-0484,U.S. Census Building Permits,sitemap,aday-kesif,/sitemapindex/census.xml
gayrimenkul,doc-39c7680afecf,source-0468,Redfin,ana-sayfa,arsiv,/
gayrimenkul,doc-6508a63563a2,source-0471,Rightmove,sitemap,aday-kesif,/sitemap.xml
gayrimenkul,doc-6ee72419332a,source-0479,Emlakjet,belirsiz,gercek-icerik,/danismanlar
gayrimenkul,doc-8427299251d7,source-0484,U.S. Census Building Permits,sitemap,aday-kesif,/sitemapindex/video.xml
gayrimenkul,doc-8a2c1ce90577,source-0470,Trulia,belirsiz,gercek-icerik,"/for_rent/Atlanta,GA/"
gayrimenkul,doc-a2835e58f417,source-0472,Zoopla,ana-sayfa,arsiv,/
gayrimenkul,doc-aa414cf42a76,source-0484,U.S. Census Building Permits,sitemap,aday-kesif,/sitemapindex/sitemap.xml
gelistirici-araci,doc-1027662cad28,source-0029,Dev.to,ana-sayfa,gercek-icerik,/
gelistirici-araci,doc-2a84db52aee6,source-0030,Hashnode,fiyatlandirma-sayfasi,gercek-icerik,/alternatives
gelistirici-araci,doc-3b218f3d1d54,source-0030,Hashnode,ana-sayfa,gercek-icerik,/
gelistirici-araci,doc-4b2a48b8d3d2,source-0033,DZone,sitemap,aday-kesif,/refcard-1.xml
gelistirici-araci,doc-60e80b2ea5c6,source-0020,SourceForge,sitemap,aday-kesif,/sitemap.xml
gelistirici-araci,doc-6bfdf24750e4,source-0035,Slashdot,ana-sayfa,gercek-icerik,/
gelistirici-araci,doc-7f90c691fab2,source-0021,Codeberg,belirsiz,gercek-icerik,/Codeberg/org/compare/17bdb39b0c1ecd0e423f3ba592650ce57fcdfbf5..71149c
gelistirici-araci,doc-87fa637d100d,source-0023,Stack Overflow,api-yaniti,api-yaniti,/2.3/questions
gelistirici-araci,doc-a14f468c745f,source-0024,Stack Exchange,api-yaniti,api-yaniti,/2.3/sites
gelistirici-araci,doc-a9cf0aeea1d2,source-0050,JetBrains Marketplace,belirsiz,js-kabugu,/plugin/1-colourchooser/reviews
gelistirici-araci,doc-c6a94d95a7a7,source-0029,Dev.to,besleme,besleme,/feed
gelistirici-araci,doc-d4710c307dbe,source-0020,SourceForge,fiyatlandirma-sayfasi,gercek-icerik,/software/vendors/pricing/
mobil-uygulama,doc-18548d4df59a,source-0099,Samsung Galaxy Store,sitemap,aday-kesif,/sitemap.xml
mobil-uygulama,doc-1927293d4418,source-0108,Uptodown,ana-sayfa,gercek-icerik,/
mobil-uygulama,doc-1e29b756ea67,source-0107,APKMirror,ana-sayfa,gercek-icerik,/
mobil-uygulama,doc-2a56addd0f19,source-0099,Samsung Galaxy Store,sitemap,aday-kesif,/sitemap_Apps_2.xml
mobil-uygulama,doc-34a931d5be96,source-0097,Google Play Store,belirsiz,js-kabugu,/store/games
mobil-uygulama,doc-472e7ca8abfe,source-0105,Aptoide,sitemap,aday-kesif,/sitemap-app-1.xml
mobil-uygulama,doc-4c2595ad7094,source-0108,Uptodown,liste-sayfasi,gercek-icerik,/marketplace
mobil-uygulama,doc-854d42ea70cb,source-0105,Aptoide,sitemap,aday-kesif,/sitemap-app-3.xml
mobil-uygulama,doc-a8ddf44b3ca7,source-0096,Apple App Store,belirsiz,gercek-icerik,/us/iphone/today
mobil-uygulama,doc-c1bd45216866,source-0105,Aptoide,sitemap,aday-kesif,/sitemap-app-2.xml
mobil-uygulama,doc-dbded79a5a82,source-0108,Uptodown,ana-sayfa,gercek-icerik,/
mobil-uygulama,doc-e80fd2f268b7,source-0101,Microsoft Store,sitemap,aday-kesif,/sitemap
ortak,doc-00322532292c,source-0597,Wynter,karsilastirma-sayfasi,gercek-icerik,/compare
ortak,doc-1698fdbf0e1d,source-0219,Moz,sitemap,aday-kesif,/sitemaps-1-sitemap.xml
ortak,doc-2b9904d1ec38,source-0228,AnswerThePublic,ana-sayfa,js-kabugu,/en
ortak,doc-3bbe500c08a6,source-0228,AnswerThePublic,sitemap,aday-kesif,/sitemap.xml
ortak,doc-51d8ac863e32,source-0012,SerpAPI,ana-sayfa,arsiv,/
ortak,doc-720774ce889d,source-0247,AppMagic,sitemap,aday-kesif,/sitemap-blog.xml
ortak,doc-89a9c86aefd0,source-0602,Sprig,karsilastirma-sayfasi,gercek-icerik,/compare
ortak,doc-9dc7a2b23f0c,source-0249,BigSpy,ana-sayfa,gercek-icerik,/en
ortak,doc-b060473a39cd,source-0223,SpyFu,politika-dosyasi,politika,/robots.txt
ortak,doc-c6b39317cae3,source-0602,Sprig,fiyatlandirma-sayfasi,gercek-icerik,/pricing
ortak,doc-d5ac68cc8270,source-0335,bioRxiv,sitemap,aday-kesif,/sitemap.xml
ortak,doc-e7a5bb700910,source-0208,Netcraft,ana-sayfa,js-kabugu,/
oyun,doc-008646c22fbb,source-0532,OpenCritic,sitemap,aday-kesif,/sitemap_games_1.xml
oyun,doc-1614a303387c,source-0521,itch.io,liste-sayfasi,gercek-icerik,/app
oyun,doc-38f4f0215565,source-0524,Nintendo eShop,sitemap,aday-kesif,/au/sitemap/0.xml
oyun,doc-4dd13d636800,source-0524,Nintendo eShop,belirsiz,gercek-icerik,/us/store/
oyun,doc-622d7f12da7d,source-0521,itch.io,sitemap,aday-kesif,/sitemaps/games.xml
oyun,doc-7186d067415e,source-0532,OpenCritic,liste-sayfasi,gercek-icerik,/browse
oyun,doc-861699a34e4f,source-0520,GOG,belirsiz,gercek-icerik,/u/@me/reviews
