source_id,ad,niyet,url,origin,entry_path
source-0117,Wix App Market,competitor_discovery,https://www.wix.com/marketplace,https://www.wix.com,/marketplace
source-0117,Wix App Market,dissatisfaction,https://www.wix.com/app-market/reviews,https://www.wix.com,/app-market/reviews
source-0117,Wix App Market,existing_alternatives,https://www.wix.com/compare/hub/bigcommerce,https://www.wix.com,/compare/hub/bigcommerce
source-0117,Wix App Market,observed_market_pricing,https://www.wix.com/plans,https://www.wix.com,/plans
source-0117,Wix App Market,problem_demand,https://www.wix.com/app-market/forum,https://www.wix.com,/app-market/forum
source-0117,Wix App Market,use_case,https://www.wix.com/business/solutions/bio-website,https://www.wix.com,/business/solutions/bio-website
source-0091,Slack,competitor_discovery,https://slack.com/integrations,https://slack.com,/integrations
source-0091,Slack,existing_alternatives,https://slack.com/compare/slack-vs-email,https://slack.com,/compare/slack-vs-email
source-0091,Slack,observed_market_pricing,https://slack.com/pricing,https://slack.com,/pricing
source-0091,Slack,problem_demand,https://slack.com/community,https://slack.com,/community
source-0091,Slack,use_case,https://slack.com/solutions,https://slack.com,/solutions
source-0128,monday.com Apps Marketplace,competitor_discovery,https://monday.com/integrations,https://monday.com,/integrations
source-0128,monday.com Apps Marketplace,dissatisfaction,https://monday.com/reviews,https://monday.com,/reviews
source-0128,monday.com Apps Marketplace,existing_alternatives,https://monday.com/alternative,https://monday.com,/alternative
source-0128,monday.com Apps Marketplace,observed_market_pricing,https://monday.com/pricing,https://monday.com,/pricing
source-0128,monday.com Apps Marketplace,use_case,https://monday.com/customers/alachua-county,https://monday.com,/customers/alachua-county
source-0287,Ashby Jobs,competitor_discovery,https://www.ashbyhq.com/integrations,https://www.ashbyhq.com,/integrations
source-0287,Ashby Jobs,existing_alternatives,https://www.ashbyhq.com/compare/ashby-vs-greenhouse,https://www.ashbyhq.com,/compare/ashby-vs-greenhouse
source-0287,Ashby Jobs,observed_market_pricing,https://www.ashbyhq.com/pricing,https://www.ashbyhq.com,/pricing
source-0287,Ashby Jobs,problem_demand,https://www.ashbyhq.com/resources/community,https://www.ashbyhq.com,/resources/community
source-0287,Ashby Jobs,use_case,https://www.ashbyhq.com/customers,https://www.ashbyhq.com,/customers
source-0583,Typeform,competitor_discovery,https://www.typeform.com/blog-category/product,https://www.typeform.com,/blog-category/product
source-0583,Typeform,dissatisfaction,https://www.typeform.com/templates-sub-category/feedback,https://www.typeform.com,/templates-sub-category/feedback
source-0583,Typeform,existing_alternatives,https://www.typeform.com/try/alternative/lf/best-software-ftf,https://www.typeform.com,/try/alternative/lf/best-software-ftf
source-0583,Typeform,observed_market_pricing,https://www.typeform.com/pricing,https://www.typeform.com,/pricing
source-0583,Typeform,use_case,https://www.typeform.com/blog-category/customer,https://www.typeform.com,/blog-category/customer
source-0596,dscout,competitor_discovery,https://dscout.com/platform/integrations,https://dscout.com,/platform/integrations
source-0596,dscout,dissatisfaction,https://dscout.com/lp/reviews,https://dscout.com,/lp/reviews
source-0596,dscout,observed_market_pricing,https://dscout.com/pricing,https://dscout.com,/pricing
source-0596,dscout,problem_demand,https://dscout.com/topics/agency,https://dscout.com,/topics/agency
source-0596,dscout,use_case,https://dscout.com/customers,https://dscout.com,/customers
