document_id,artifact_hash,source_id,source_adi,alan,deger,alan_sinifi,alan_turu,not
doc-9509549100e9,2fd9f404f6f3e209ef7542db3d7f56bffee9e347cfb926fb3e3df3c304fc31f1,source-0059,AlternativeTo,engagement_yorum_sayisi,6,etkilesim,olcum,gözlemlenmiş etkileşim sayısı; ödeme davranışı ya da talep kanıtı DEĞİLDİR
doc-b0124bcad21d,37386d2bfad10c50db5a408e5494f738f0d64afc2dd63104d918116fa62eab04,source-0314,Angi,fiyat,"$1,890",urun,olcum,
doc-c7a276cf2965,1997d3b3ffbe5c91fc00e83ef2d376d868b2b26bd46061933231d0ad2af1bac7,source-0107,APKMirror,fiyat,$10,urun,olcum,
doc-c7a276cf2965,1997d3b3ffbe5c91fc00e83ef2d376d868b2b26bd46061933231d0ad2af1bac7,source-0107,APKMirror,surum,7.14.1,urun,olcum,
doc-1e29b756ea67,cc0292c894eb54f3549413fa9b9ac86e406401f6dea434bea9b0de6a5c53d371,source-0107,APKMirror,fiyat,$10,urun,olcum,
doc-d1ed39bc00b3,f282509518e7c386e9c33e164e6aeec022db88115ba19bd0137bab493b4ea5b9,source-0065,AppSumo,fiyat,$39,urun,olcum,
doc-d1ed39bc00b3,f282509518e7c386e9c33e164e6aeec022db88115ba19bd0137bab493b4ea5b9,source-0065,AppSumo,engagement_yorum_sayisi,3,etkilesim,olcum,gözlemlenmiş etkileşim sayısı; ödeme davranışı ya da talep kanıtı DEĞİLDİR
doc-1842436b8403,40256c914d83b612f15e4f390d5814c08a1bb68874b5eaaeb2acf779f414205c,source-0065,AppSumo,fiyat,$79,urun,olcum,
doc-1842436b8403,40256c914d83b612f15e4f390d5814c08a1bb68874b5eaaeb2acf779f414205c,source-0065,AppSumo,engagement_yorum_sayisi,119,etkilesim,olcum,gözlemlenmiş etkileşim sayısı; ödeme davranışı ya da talep kanıtı DEĞİLDİR
doc-2d703b201b2c,ea95ba770479e5acd9b10f3702b46833785d5986cacda96406ab8ae53108e735,source-0541,AWS Marketplace,repo_yolu,aws/CICD-for-SageMakerUnifiedStudio,teknik,etiket,sayfada geçen ifade; doğrulanmış bir ölçüm değildir
doc-3cef2cb31eff,b0cee491fdfdd27dbdd9c2d68826ac60c704d6f167643039601952af60af87d1,source-0437,Bank for International Settlements,gosterge,indicators at end-March 2026,kamu,etiket,sayfada geçen ifade; doğrulanmış bir ölçüm değildir
doc-5c8e678dc72c,35330438cd12234c7fdcc27e5fa52a199e9930305699c3f6020befedde6cd550,source-0442,Borsa İstanbul,gosterge,Endeksleri 1,kamu,etiket,sayfada geçen ifade; doğrulanmış bir ölçüm değildir
doc-5c8e678dc72c,35330438cd12234c7fdcc27e5fa52a199e9930305699c3f6020befedde6cd550,source-0442,Borsa İstanbul,yil_araligi,2025-2026,kamu,olcum,
doc-52494270bdd5,b0480a331811f829128d95d65b0a8bda2ef583958d86c54482e7284a9ce5e12e,source-0382,BTK,mevzuat_atfi,Kanun,kamu,etiket,sayfada geçen ifade; doğrulanmış bir ölçüm değildir
doc-52494270bdd5,b0480a331811f829128d95d65b0a8bda2ef583958d86c54482e7284a9ce5e12e,source-0382,BTK,yil_araligi,2026-2027,kamu,olcum,
doc-07c2dee9042b,a0776da0a34df960d60f7c4397cc8c6e075898df09e35f7559437db6bac03870,source-0201,BuiltWith,fiyat,"$60,000",urun,olcum,
doc-07c2dee9042b,a0776da0a34df960d60f7c4397cc8c6e075898df09e35f7559437db6bac03870,source-0201,BuiltWith,ozellik_basligi,Features,urun,etiket,sayfada geçen ifade; doğrulanmış bir ölçüm değildir
doc-6accd6a4efe5,61bf69df0db83aab47986bdc35b8d406842b73849f17a0c9588982bb6b2d54c1,source-0362,Bureau of Labor Statistics,gosterge,rates) Productivity increased 1.2,kamu,etiket,sayfada geçen ifade; doğrulanmış bir ölçüm değildir
doc-6accd6a4efe5,61bf69df0db83aab47986bdc35b8d406842b73849f17a0c9588982bb6b2d54c1,source-0362,Bureau of Labor Statistics,yil_araligi,2019–2023,kamu,olcum,
