fikir,kategori,soru_id,yuva,kaynak,kaynak_grubu,pazar,yol,cekirdek_terim,orijinal_terim,ceviri_guveni,ceviri_katmani,ceviri_izi,ceviri_uyarisi,grup_dili,niyet_eki,sorgu_metni,sorgu_turu,derlenmis_sorgu,derlenemedi_nedeni,yedekler
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,doygun-mu,1,Google Play Store,Mobil uygulama mağazaları,US,opensearch,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,app,,diabetes takip app,uzak-url,https://play.google.com/store/search?q=diabetes+takip+app&utm_source=opensearch&hl=en&gl=US,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,doygun-mu,2,ThemeForest,Dijital ürün ve şablon pazar yerleri,US,fulltext,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,template,,diabetes takip template,yerel-arama,diabetes takip template,,"Envato Market, CodeCanyon"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,giris-engeli,1,Dimensions,Akademik araştırma ve bilimsel yayınlar,US,local_index,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,study,regulation,diabetes takip study regulation,yerel-arama,diabetes takip study regulation,,"Web of Science, Lens.org"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,giris-engeli,2,NICE,Sağlık ve biyoteknoloji dikeyi,US,site_search,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,clinical,regulation,diabetes takip clinical regulation,uzak-url,https://www.nice.com/search?q=diabetes+takip+clinical+regulation,,"WHO, CDC"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,giris-engeli,3,The Trademark Search Company,Patent ve marka,US,local_index,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,patent,regulation,diabetes takip patent regulation,yerel-arama,diabetes takip patent regulation,,"USPTO Trademark Search, Google Patents"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,kesfedilebilirlik,1,Google Play Store,Mobil uygulama mağazaları,US,opensearch,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,app,ranking,diabetes takip app ranking,uzak-url,https://play.google.com/store/search?q=diabetes+takip+app+ranking&utm_source=opensearch&hl=en&gl=US,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,odeme-istegi,1,Google Play Store,Mobil uygulama mağazaları,US,opensearch,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,app,pricing,diabetes takip app pricing,uzak-url,https://play.google.com/store/search?q=diabetes+takip+app+pricing&utm_source=opensearch&hl=en&gl=US,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,odeme-istegi,2,ThemeForest,Dijital ürün ve şablon pazar yerleri,US,fulltext,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,template,pricing,diabetes takip template pricing,yerel-arama,diabetes takip template pricing,,"Envato Market, CodeCanyon"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,platform-politikasi,1,Google Play Store,Mobil uygulama mağazaları,US,opensearch,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,app,policy,diabetes takip app policy,uzak-url,https://play.google.com/store/search?q=diabetes+takip+app+policy&utm_source=opensearch&hl=en&gl=US,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,rakip-kim,1,Similarweb,"Domain, DNS, sertifika ve web footprint",US,site_search,diabetes takip,diyabet takip,orta,wiktionary+kategori (kismi),"wikipedia(tam ifade):'Diyabet' reddedildi (ortusme 0.50) | wiktionary:diyabet=tek aday 'diabetes' | wiktionary:takip=11 aday, kategori dili secemedi, wikipedia 'karsilik yok' ortusmedi",1 kelime çevrilemedi,domain,alternative,diabetes takip domain alternative,uzak-url,https://www.similarweb.com/search/?q=diabetes+takip+domain+alternative,,"Netcraft, WhoisXML API"
