fikir,kategori,soru_id,yuva,kaynak,kaynak_grubu,pazar,yol,cekirdek_terim,grup_dili,niyet_eki,sorgu_metni,sorgu_turu,derlenmis_sorgu,derlenemedi_nedeni,yedekler
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,doygun-mu,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,diyabet takip,app,,diyabet takip app,uzak-url,https://play.google.com/store/search?q=diyabet+takip+app&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,doygun-mu,2,ThemeForest,Dijital ürün ve şablon pazar yerleri,TR,fulltext,diyabet takip,template,,diyabet takip template,yerel-arama,diyabet takip template,,"Envato Market, CodeCanyon"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,giris-engeli,1,Dimensions,Akademik araştırma ve bilimsel yayınlar,TR,local_index,diyabet takip,study,regulation,diyabet takip study regulation,yerel-arama,diyabet takip study regulation,,"Web of Science, Lens.org"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,giris-engeli,2,NICE,Sağlık ve biyoteknoloji dikeyi,TR,site_search,diyabet takip,clinical,regulation,diyabet takip clinical regulation,uzak-url,https://www.nice.com/search?q=diyabet+takip+clinical+regulation,,"WHO, CDC"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,giris-engeli,3,The Trademark Search Company,Patent ve marka,TR,local_index,diyabet takip,patent,regulation,diyabet takip patent regulation,yerel-arama,diyabet takip patent regulation,,"USPTO Trademark Search, Google Patents"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,kesfedilebilirlik,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,diyabet takip,app,ranking,diyabet takip app ranking,uzak-url,https://play.google.com/store/search?q=diyabet+takip+app+ranking&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,odeme-istegi,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,diyabet takip,app,pricing,diyabet takip app pricing,uzak-url,https://play.google.com/store/search?q=diyabet+takip+app+pricing&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,odeme-istegi,2,ThemeForest,Dijital ürün ve şablon pazar yerleri,TR,fulltext,diyabet takip,template,pricing,diyabet takip template pricing,yerel-arama,diyabet takip template pricing,,"Envato Market, CodeCanyon"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,platform-politikasi,1,Google Play Store,Mobil uygulama mağazaları,TR,opensearch,diyabet takip,app,policy,diyabet takip app policy,uzak-url,https://play.google.com/store/search?q=diyabet+takip+app+policy&utm_source=opensearch&hl=tr&gl=TR,,"Apple App Store, APKMirror"
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,rakip-kim,1,Similarweb,"Domain, DNS, sertifika ve web footprint",TR,site_search,diyabet takip,domain,alternative,diyabet takip domain alternative,uzak-url,https://www.similarweb.com/search/?q=diyabet+takip+domain+alternative,,"Netcraft, WhoisXML API"
