kategori,katalog_kaynagi,kayit_veren_kaynak,kayit,olcum_kaniti_ureten,alan_dolulugu_yuzde,olcum_alani,etiket_alani,bilinmeyen_belge_turu,bilinmeyen_dil,tarihsiz_kayit,tekrar_orani_yuzde,islenemeyen_kayit
b2b-web-yazilimi,64,52,140,45,23.6,39,1,4,47,134,5.7,64
egitim,17,15,26,1,3.8,1,0,4,12,24,3.8,18
eklenti-entegrasyon,25,24,94,31,20.2,19,3,18,42,88,8.5,35
fintech,26,20,62,14,41.9,9,30,9,27,55,6.5,38
gayrimenkul,18,14,34,4,0.0,0,0,5,16,31,0.0,22
gelistirici-araci,34,27,66,21,24.2,8,17,4,24,57,4.5,53
mobil-uygulama,13,8,27,6,11.1,4,0,4,16,26,0.0,17
ortak,291,217,549,147,8.6,37,21,43,203,501,3.1,359
oyun,17,12,38,13,21.1,10,0,5,17,37,0.0,20
regule-sektor,28,20,41,7,34.1,5,13,11,17,34,29.3,23
saglik,17,11,22,4,13.6,3,2,4,8,16,4.5,15
seyahat,22,19,34,2,2.9,1,0,2,19,33,2.9,26
turkiye-pazari,22,16,37,7,0.0,0,0,3,14,29,0.0,21
yapay-zeka-urunu,24,19,62,17,4.8,0,5,8,33,60,4.8,35
yeme-icme,17,11,20,3,15.0,3,0,3,8,16,0.0,10
yerel-hizmet,23,17,39,7,15.4,7,0,3,18,35,5.1,24
