kanit_sayilari,source_id,kaynak,url,artefakt_kimligi,dosya,kaynak_ailesi,kaynagin_diger_aileleri,urun_tipi,belge_turu,ikincil_belge_turu,icerik_alani,jsonld_turleri,siniflandirma_gerekcesi,aday_kesif_mi,olcum_kaniti_uretir_mi,bayt,yontem
liste=0 yorum=0 fiyatli_offer=0,source-0339,Academia.edu,https://www.academia.edu/robots.txt,f5dffaf21c60c86c,results/raw/f5dffaf21c60c86c8856b3b1769247d93135161719fbcd563c9732bd65c577db.bin,Akademik araştırma ve bilimsel yayınlar,,ortak-havuz,politika-dosyasi,,(başlık yok),,yöntem robots_preflight,hayir,hayir,57386,robots_preflight
liste=0 yorum=0 fiyatli_offer=1,source-0326,BASE,https://base.com/en-US/home/,e542e94c78bd6bb3,results/raw/e542e94c78bd6bb32d4a7465350871407e591454c0cac27976d6d4e16ac1d276.bin,Akademik araştırma ve bilimsel yayınlar,,ortak-havuz,ana-sayfa,,Base.com - Commerce Process Orchestration and Operations Platform,"CreativeWork, GeoCoordinates, Offer, Organization, Place, PostalAddress",kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (kayit-sayfasi işareti var ama eşiğin altında),hayir,hayir,207417,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0325,CORE,https://core.ac.uk/sitemap.xml,82a23fbba47998e8,results/raw/82a23fbba47998e8ea1c6223f8e620d2d2fb83b23e70f2274d8bada83498bd2b.bin,Akademik araştırma ve bilimsel yayınlar,,ortak-havuz,sitemap,,(başlık yok),,yöntem sitemap_xml,evet,hayir,400000,sitemap_xml
liste=0 yorum=0 fiyatli_offer=1,source-0601,Great Question,https://greatquestion.co/,4aebb4700f6d7f8f,results/raw/4aebb4700f6d7f8f285dac56d4c098b5ab3e4437c02e62ea6692e80f96c7641b.bin,"Anket, birincil doğrulama ve kullanıcı araştırması platformları",,ortak-havuz,ana-sayfa,,UX Research Software &amp; User Research Platform | Great Question,"AggregateRating, ContactPoint, EntryPoint, Offer, Organization, SearchAction",kök yolda ana sayfa; sayfanın kendini tarif eden işaretleri (kayit-sayfasi işareti var ama eşiğin altında),hayir,hayir,258401,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0603,Hotjar,https://www.hotjar.com/partner-directory/stauffer/,85818b07491d997a,results/raw/85818b07491d997a557c1a71be8b1ac1b887ad78b7735627487ffe5c51a739c1.bin,"Anket, birincil doğrulama ve kullanıcı araştırması platformları",,ortak-havuz,belirsiz,,"Understand how users behave on your site, what they need, and how they feel, fast.",,"URL yolu '/partner-directory/stauffer/' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",hayir,hayir,146799,entry_url
liste=0 yorum=0 fiyatli_offer=0,source-0587,Jotform,https://www.jotform.com/,1236eee5989fe903,results/raw/1236eee5989fe903ae9ce11520e45eff722b0da9aacee3160176986ea828a7d0.bin,"Anket, birincil doğrulama ve kullanıcı araştırması platformları",,ortak-havuz,ana-sayfa,,Free Online Form Builder & Form Creator for 2026 | Jotform,"ContactPoint, Corporation, Person, PostalAddress, WebPage",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0180,CodeCanyon,https://codecanyon.net/,9ff2ceaba203b532,results/raw/9ff2ceaba203b53265c9d74937f132bc615ac915d9de468716eab4bcc72eec3b.bin,Dijital ürün ve şablon pazar yerleri,,ortak-havuz,ana-sayfa,,Buy Plugins &amp; Code from CodeCanyon,"ContactPoint, OnlineBusiness, Organization, PostalAddress",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0177,Creative Market,https://creativemarket.com/,33e4cf1144c83fca,results/raw/33e4cf1144c83fca82dd4b4c58a4b28ff27a51011452f2c86bd79f555b34c2a9.bin,Dijital ürün ve şablon pazar yerleri,,ortak-havuz,ana-sayfa,,"Creative Market: High-quality Stock Photo, Graphics, Fonts, &amp; Design Templates",,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,common_crawl_warc
liste=0 yorum=0 fiyatli_offer=0,source-0178,Envato Market,https://themeforest.net/,9876ae88a2034663,results/raw/9876ae88a2034663f450360f16f58b961aedb887d93158f00dad838292d2ff24.bin,Dijital ürün ve şablon pazar yerleri,,ortak-havuz,ana-sayfa,,WordPress Themes &amp; Website Templates from ThemeForest,"ContactPoint, OnlineBusiness, Organization, PostalAddress",URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,400000,root_html
liste=0 yorum=0 fiyatli_offer=0,source-0201,BuiltWith,https://builtwith.com/,a0776da0a34df960,results/raw/a0776da0a34df960d60f7c4397cc8c6e075898df09e35f7559437db6bac03870.bin,"Domain, DNS, sertifika ve web footprint","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",b2b-saas,ana-sayfa,,BuiltWith Technology Lookup,,URL yolu kök ve kayıt/liste/fiyat işareti yok,hayir,hayir,224623,root_html
