document_id,artifact_hash,source_id,kaynak_ailesi,urun_kategorileri,belge_turu,ikincil_belge_turu,arastirma_niyeti,icerik_durumu,siniflandirma_gerekcesi,icerik_gerekcesi,cekim_niyeti,belirsizlik,olcum_kaniti_uretir_mi
doc-331b26cd14d4,381659c175b28d0901a254e5742109105d0116972a3077e9f8c5cff89e836953,source-0273,"Şirket, yatırım ve startup verisi",ortak-havuz,ana-sayfa,,rakip-kim,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 8839 karakter,,,hayir
doc-16d43bcbbffa,f5dffaf21c60c86c8856b3b1769247d93135161719fbcd563c9732bd65c577db,source-0339,Akademik araştırma ve bilimsel yayınlar,ortak-havuz,politika-dosyasi,,"giris-engeli, talep-yonu",politika,yöntem robots_preflight,yöntem robots_preflight,,,hayir
doc-fc7ada8ee3c5,9cda43fa949042756fb997ef9609051ae1a031ec2dbb3ad72a93734fa9dcfb5a,source-0250,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak-havuz,ana-sayfa,,ulasilabilir-mi,arsiv,URL yolu kök ve kayıt/liste/fiyat işareti yok,"Common Crawl kopyası, görünür metin 6938 karakter",,,hayir
doc-2dce68bf08f3,ce9eef461f3c320f588fd59aeeb56a255bd8eec2695703c50b7a0286fa31b876,source-0489,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,ana-sayfa,,"odeme-istegi, rakip-kim",js-kabugu,URL yolu kök ve kayıt/liste/fiyat işareti yok,197934 bayt HTML ama görünür metin 0 karakter,,dil belirlenemedi,hayir
doc-6c71fe9082ff,9a447c6626e5353a1d5bdf88d88d198848a571e3e404e5dbca590cac97200673,source-0217,"Trafik, SEO, anahtar kelime ve trend",ortak-havuz,ana-sayfa,,"talep-var-mi, talep-yonu",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 3715 karakter,,,hayir
doc-5f277e4c37a3,eee43f42bb76d3f0466014b8598e1cf60fa87944298a507ad31840390474f355,source-0486,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,politika-dosyasi,,"odeme-istegi, rakip-kim",politika,yöntem robots_preflight,yöntem robots_preflight,,,hayir
doc-e42a7d9043d0,feeaad85f25534b3583aec429ca4c3976b613d60270dbcf5cf856a04d6fff9e3,source-0486,"Seyahat, konaklama ve mobilite dikeyi",ortak-havuz,ana-sayfa,,"odeme-istegi, rakip-kim",gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 4170 karakter,,,hayir
doc-bc1a6fb8988c,e46ca5d0b163b904672ab0e17a2bde178f23080a76dead095219f2c4d293c7af,source-0132,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları","b2b-saas, consumer-mobile-web, ecommerce-enablement",belirsiz,,"doygun-mu, odeme-istegi, platform-kendi-ekler-mi, platform-politikasi, talep-var-mi",js-kabugu,"URL yolu '/marketplace' kök değil ama kayıt, liste, yorum ya da fiyat işareti taşımıyor",102708 bayt HTML ama görünür metin 174 karakter,,belge türü belirlenemedi,hayir
doc-014858730b5c,56c7e78b2be3f5ce89e0849572aa43be6976a2c0fea30ebd778d6db2505eb845,source-0132,"Tarayıcı, e-ticaret ve CMS eklenti mağazaları","b2b-saas, consumer-mobile-web, ecommerce-enablement",sitemap,,"doygun-mu, odeme-istegi, platform-kendi-ekler-mi, platform-politikasi, talep-var-mi",aday-kesif,yöntem sitemap_xml,yöntem sitemap_xml,,,hayir
doc-71ab68710120,15e344341943cde86eef5ee8b5b32c5e59fb14c546be4843c907fa1273e2a4b8,source-0164,(aile atanmamış),ortak-havuz,ana-sayfa,,,gercek-icerik,URL yolu kök ve kayıt/liste/fiyat işareti yok,görünür metin 64788 karakter,,,hayir
